IDA ID	IDA Text	Unique Proteins	Representative Accession	Representative Length	Representative Domains
f4f21725fd0a54c2c3d11d0b4af4d6597b355555	PF13604-PF18343:IPR041214	455	P32270	439	PF13604{AAA_30}[6-196],PF18343{SH3_14}:IPR041214{SH3_14}[260-389]
a7bbb11545c402e7b11e370630c5b0aa80a8e928	PF13604-PF18343:IPR041214-PF13538:IPR027785	144	Q7Y474	463	PF13604{AAA_30}[10-196],PF18343{SH3_14}:IPR041214{SH3_14}[259-411],PF13538{UvrD_C_2}:IPR027785{UvrD-like_helicase_C}[414-458]
0a23e6478b5b187b7c74ca4b10717aff5a36b26d	PF13245-PF18343:IPR041214-PF13538:IPR027785	3	A0A4Y1NMU3	452	PF13245{AAA_19}[40-165],PF18343{SH3_14}:IPR041214{SH3_14}[278-401],PF13538{UvrD_C_2}:IPR027785{UvrD-like_helicase_C}[406-452]
f4a0001b59e3da50c8ea2e3ad1d782d5b30753a8	PF18343:IPR041214	3	A0A3T0IM64	323	PF18343{SH3_14}:IPR041214{SH3_14}[143-273]
9951d246e1c32712c09b98b03736139800758c69	PF13245-PF18343:IPR041214	2	A0A2Z5WKB8	439	PF13245{AAA_19}[24-150],PF18343{SH3_14}:IPR041214{SH3_14}[260-389]
97e6e0e461583b1ab4d2393fd7ea4077f6bd4b20	PF00772:IPR007693-PF03796:IPR007694	47452	P03006	458	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[3-95],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[171-423]
4c6c08c14d045eba3f4cd6652398098cd1b39579	PF03796:IPR007694	10462	Q05279	268	PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[23-224]
05f1abc3e0c953d1d030a74fb7e8cc8c46477d6f	PF13155-PF03796:IPR007694	1051	Q9RC13	572	PF13155{Toprim_2}[227-319],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[358-549]
87b681f7dc31b135757c754c370488292baa55e2	PF00772:IPR007693-PF03796:IPR007694-PF14890-PF14528:IPR004860-PF03796:IPR007694	600	Q55418	872	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[8-108],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[182-386],PF14890{Intein_splicing}[388-809],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[595-678],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[810-864]
63d2f006a5c86b950af80ddd7e50eab4ab466277	PF21268:IPR048774-PF13155-PF03796:IPR007694	571	Q9T128	504	PF21268{Helic-prim_T7_N}:IPR048774{Helic-prim_T7_N}[13-71],PF13155{Toprim_2}[91-178],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[228-444]
d393868ff071c7ce2b362f3abe4e72b162ab01b4	PF00772:IPR007693-PF03796:IPR007694-PF14528:IPR004860-PF03796:IPR007694	497	Q9APN1	795	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[23-125],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[201-233],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[435-495],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[570-792]
b05c1d1eff8bb06ccec54ef30feca9fd70d1a8b6	PF13662:IPR006171-PF03796:IPR007694	455	Q652I8	695	PF13662{Toprim_4}:IPR006171{TOPRIM_dom}[277-346],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[414-659]
255446edded67ca326cb8b2a695d4cb5a801d5bb	PF00772:IPR007693-PF03796:IPR007694-PF03796:IPR007694	424	P46394	604	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[24-126],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[202-234],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[379-601]
46ec14d2935cea746cc3b96894e39cd2fb99f215	PF00772:IPR007693-PF03796:IPR007694-PF14890	243	P51333	568	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[6-88],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[162-566],PF14890{Intein_splicing}[403-511]
9e619261ab0f8d9d4df2cb36d029d3a253b9eb20	PF03796:IPR007694-PF03796:IPR007694	215	O80239	276	PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[24-104],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[108-254]
2b925ca20c5836e3601b453a67d40591a7c12fe9	PF00772:IPR007693-PF03796:IPR007694-PF03796:IPR007694-PF14890-PF14528:IPR004860-PF03796:IPR007694	180	A0R7F4	1024	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[25-127],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[203-235],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[374-543],PF14890{Intein_splicing}[551-965],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[753-836],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[966-1021]
86e3e30b86eead56dbec743d73ebba83162b67a4	PF08273:IPR013237-PF21268:IPR048774-PF13155-PF03796:IPR007694	153	Q9T129	566	PF08273{Prim_Zn_Ribbon}:IPR013237{Phage_T7_Gp4_N}[11-44],PF21268{Helic-prim_T7_N}:IPR048774{Helic-prim_T7_N}[75-133],PF13155{Toprim_2}[153-240],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[290-506]
d592b7514675e22f706f554745c29c9b4347ae0b	PF00772:IPR007693-PF03796:IPR007694-PF14528:IPR004860-PF03796:IPR007694-PF14890-PF14528:IPR004860-PF03796:IPR007694	70	C4RHI5	1163	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[31-131],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[210-242],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[382-451],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[511-680],PF14890{Intein_splicing}[689-1103],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[893-974],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[1104-1158]
2c995ed8b0d7f9d2d93299ecb028d26c0fdef5d4	PF01807:IPR002694-PF13155-PF03796:IPR007694	60	B0P9L8	637	PF01807{zf-CHC2}:IPR002694{Znf_CHC2}[25-97],PF13155{Toprim_2}[219-309],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[357-628]
6ec8b323f021153685bf352b7e2fc29f26b047a6	PF00772:IPR007693-PF03796:IPR007694-PF05203:IPR007868-PF05204:IPR007869-PF03796:IPR007694	53	A6QC64	822	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[4-98],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[174-206],PF05203{Hom_end_hint}:IPR007868{Hom_end_hint}[206-279],PF05204{Hom_end}:IPR007869{Homing_endonuc_PI-Sce}[408-488],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[517-791]
a4d51e986426a95c8199a9a49af47f56f6557ee0	PF03796:IPR007694-PF14890	53	J7F6D6	483	PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[89-481],PF14890{Intein_splicing}[318-426]
bb0c03aaf81e302eea91a761485827642eaecca5	PF00772:IPR007693-PF03796:IPR007694-PF14890-PF14528:IPR004860-PF03796:IPR007694-PF14890-PF14528:IPR004860-PF03796:IPR007694	51	B8HS23	1272	PF00772{DnaB}:IPR007693{DNA_helicase_DnaB-like_N}[14-115],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[188-223],PF14890{Intein_splicing}[227-611],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[401-485],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[612-785],PF14890{Intein_splicing}[788-1209],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[995-1078],PF03796{DnaB_C}:IPR007694{DNA_helicase_DnaB-like_C}[1210-1265]
